"","ARR_DEL15","DAY_OF_WEEK","CARRIER","DEST","ORIGIN","DEP_TIME_BLK"
"17419","0.00","3","AA","LAS","PHX","1100-1159"
"17432","0.00","3","AA","PHX","DFW","1300-1359"
"17433","0.00","3","AA","DFW","LAS","0700-0759"
"17437","0.00","3","AA","LAX","LAS","1800-1859"
"17457","0.00","3","AA","CLT","JFK","1800-1859"
"17458","0.00","3","AA","JFK","PHX","0900-0959"
"17466","0.00","3","AA","PHX","ATL","1100-1159"
"17467","0.00","3","AA","ATL","CLT","0900-0959"
"17473","0.00","3","AA","JFK","CLT","1300-1359"
"17475","0.00","3","AA","PHX","JFK","1600-1659"
"17479","0.00","3","AA","ATL","PHX","0900-0959"
"17481","1.00","3","AA","ATL","PHX","1300-1359"
"17489","0.00","3","AA","CLT","PHX","0900-0959"
"17492","0.00","3","AA","JFK","PHX","1600-1659"
"17499","0.00","3","AA","PHX","CLT","1300-1359"
"17503","0.00","3","AA","PHX","ORD","1700-1759"
"17507","0.00","3","AA","JFK","PHX","2200-2259"
"17509","0.00","3","AA","PHX","JFK","0600-0659"
"17511","0.00","3","AA","LAS","PHX","1800-1859"
"17512","0.00","3","AA","LAS","CLT","1600-1659"
"17545","0.00","3","AA","CLT","ORD","1500-1559"
"17562","1.00","3","AA","CLT","ATL","1300-1359"
"17563","0.00","3","AA","DFW","CLT","1600-1659"
"17568","0.00","3","AA","LAS","DFW","2000-2059"
"17572","0.00","3","AA","CLT","ORD","1200-1259"
"17593","0.00","3","AA","LAS","CLT","1100-1159"
"17596","0.00","3","AA","LAX","CLT","1300-1359"
"17607","0.00","3","AA","CLT","ATL","1700-1759"
"17654","1.00","3","AA","DFW","LAS","1400-1459"
"17670","0.00","3","AA","ORD","CLT","2200-2259"
"17671","0.00","3","AA","CLT","LAS","1400-1459"
"17689","0.00","3","AA","SFO","CLT","1800-1859"
"17706","0.00","3","AA","CLT","ORD","1000-1059"
"17711","0.00","3","AA","ATL","CLT","1100-1159"
"17736","0.00","3","AA","JFK","CLT","0900-0959"
"17748","1.00","3","AA","CLT","DFW","0700-0759"
"17772","0.00","3","AA","ORD","CLT","2000-2059"
"17778","0.00","3","AA","PHX","LAS","1200-1259"
"17789","0.00","3","AA","ORD","CLT","1100-1159"
"17846","0.00","3","AA","ATL","CLT","2200-2259"
"17847","0.00","3","AA","JFK","CLT","2200-2259"
"17848","1.00","3","AA","CLT","DFW","1700-1759"
"17855","0.00","3","AA","CLT","ATL","0700-0759"
"17866","1.00","3","AA","CLT","ORD","0001-0559"
"17917","0.00","3","AA","ORD","CLT","0900-0959"
"17952","0.00","3","AA","CLT","LAX","0600-0659"
"17975","0.00","3","AA","PHX","SFO","0600-0659"
"17977","0.00","3","AA","ORD","CLT","0700-0759"
"17993","0.00","3","AA","CLT","SFO","0700-0759"
"18017","1.00","3","AA","JFK","CLT","1400-1459"
"18020","0.00","3","AA","CLT","PHX","0001-0559"
"18030","0.00","3","AA","SFO","CLT","1600-1659"
"18038","1.00","3","AA","CLT","ATL","1900-1959"
"18045","1.00","3","AA","ATL","CLT","1700-1759"
"18058","0.00","3","AA","CLT","DFW","1100-1159"
"18070","0.00","3","AA","LAX","CLT","0900-0959"
"18083","0.00","3","AA","CLT","ORD","0700-0759"
"18090","0.00","3","AA","CLT","PHX","0700-0759"
"18092","0.00","3","AA","CLT","JFK","1100-1159"
"18101","0.00","3","AA","DFW","CLT","0700-0759"
"18103","0.00","3","AA","CLT","SFO","1300-1359"
"18104","0.00","3","AA","CLT","DFW","0001-0559"
"18205","0.00","3","AA","LAX","DFW","1000-1059"
"18206","0.00","3","AA","LAS","ORD","1000-1059"
"18210","0.00","3","AA","DFW","LAX","1400-1459"
"18212","0.00","3","AA","SFO","ORD","1500-1559"
"18215","0.00","3","AA","LAX","DFW","1300-1359"
"18216","0.00","3","AA","LAX","DFW","1300-1359"
"18217","0.00","3","AA","DFW","LAX","1500-1559"
"18680","0.00","3","AA","LAS","JFK","1700-1759"
"18683","0.00","3","AA","LAX","SFO","1900-1959"
"18688","0.00","3","AA","ORD","LAS","1500-1559"
"18703","0.00","3","AA","PHX","DFW","0700-0759"
"18738","0.00","3","B6","ORD","JFK","1500-1559"
"18739","1.00","3","B6","JFK","ORD","1700-1759"
"18922","1.00","3","B6","CLT","JFK","1700-1759"
"18923","1.00","3","B6","JFK","CLT","1900-1959"
"19039","0.00","3","B6","LAS","JFK","2000-2059"
"19040","0.00","3","B6","JFK","LAS","2300-2359"
"19073","1.00","3","B6","ORD","JFK","0800-0859"
"19074","1.00","3","B6","JFK","ORD","1000-1059"
"19258","0.00","3","B6","SFO","LAS","1000-1059"
"19259","0.00","3","B6","LAS","SFO","1200-1259"
"19261","0.00","3","B6","LAS","SFO","1700-1759"
"19262","0.00","3","B6","SFO","LAS","1900-1959"
"19399","0.00","3","B6","LAS","JFK","1700-1759"
"19405","0.00","3","B6","LAX","JFK","0700-0759"
"19406","1.00","3","B6","JFK","LAX","1100-1159"
"19407","0.00","3","B6","JFK","LAX","0800-0859"
"19408","0.00","3","B6","LAX","JFK","1800-1859"
"19410","1.00","3","B6","JFK","LAX","0600-0659"
"19411","0.00","3","B6","SFO","JFK","1500-1559"
"19412","0.00","3","B6","JFK","SFO","2100-2159"
"19414","1.00","3","B6","JFK","LAX","1300-1359"
"19415","1.00","3","B6","LAX","JFK","2200-2259"
"19416","0.00","3","B6","SFO","JFK","0900-0959"
"19419","0.00","3","B6","LAX","JFK","1600-1659"
"19421","1.00","3","B6","SFO","JFK","0600-0659"
"19422","1.00","3","B6","JFK","SFO","1100-1159"
"19423","1.00","3","B6","LAX","JFK","2100-2159"
"19425","0.00","3","B6","SFO","JFK","1100-1159"
"19427","0.00","3","B6","LAX","JFK","1200-1259"
"19428","0.00","3","B6","JFK","LAX","1600-1659"
"19450","0.00","3","AA","DFW","ATL","1200-1259"
"19451","0.00","3","AA","ATL","DFW","0900-0959"
"19461","0.00","3","AA","DFW","ATL","1400-1459"
"19467","0.00","3","AA","LAS","DFW","1300-1359"
"19478","0.00","3","AA","LAS","LAX","1000-1059"
"19481","0.00","3","AA","LAS","DFW","0700-0759"
"19486","0.00","3","DL","LAX","LAS","1200-1259"
"19531","0.00","3","DL","LAS","ATL","2100-2159"
"19537","0.00","3","DL","SFO","ATL","2100-2159"
"19591","0.00","3","DL","LAS","LAX","1100-1159"
"19610","0.00","3","DL","CLT","ATL","1600-1659"
"19611","0.00","3","DL","ATL","CLT","1800-1859"
"19629","0.00","3","DL","JFK","ATL","0900-0959"
"19641","1.00","3","DL","ATL","ORD","1000-1059"
"19667","0.00","3","DL","LAS","LAX","0700-0759"
"19713","0.00","3","DL","ATL","LAS","1100-1159"
"19750","1.00","3","DL","JFK","ATL","2000-2059"
"19775","0.00","3","DL","LAX","LAS","0900-0959"
"19812","0.00","3","DL","ATL","CLT","1300-1359"
"19815","0.00","3","DL","ATL","SFO","2200-2259"
"19818","0.00","3","DL","ATL","LAS","2300-2359"
"19835","0.00","3","DL","PHX","ATL","1700-1759"
"19843","0.00","3","DL","ATL","LAX","0001-0559"
"19898","0.00","3","DL","JFK","LAX","2100-2159"
"19909","0.00","3","DL","DFW","ATL","1200-1259"
"19910","0.00","3","DL","ATL","DFW","1400-1459"
"19954","0.00","3","DL","DFW","ATL","1900-1959"
"19959","0.00","3","DL","LAX","JFK","1800-1859"
"19966","0.00","3","DL","LAS","ATL","1700-1759"
"19974","0.00","3","DL","ATL","LAX","1200-1259"
"19976","0.00","3","DL","ATL","LAS","0900-0959"
"19977","0.00","3","DL","LAX","ATL","0800-0859"
"20004","1.00","3","DL","LAS","JFK","1900-1959"
"20007","0.00","3","DL","SFO","ATL","1900-1959"
"20021","0.00","3","DL","ATL","LAX","0700-0759"
"20027","0.00","3","DL","ORD","ATL","1400-1459"
"20028","0.00","3","DL","ATL","ORD","1200-1259"
"20031","0.00","3","DL","JFK","LAS","1000-1059"
"20034","1.00","3","DL","SFO","JFK","1500-1559"
"20035","0.00","3","DL","SFO","JFK","1700-1759"
"20036","0.00","3","DL","JFK","LAX","0700-0759"
"20037","0.00","3","DL","LAX","JFK","1500-1559"
"20043","0.00","3","DL","ATL","JFK","1500-1559"
"20045","0.00","3","DL","PHX","JFK","1800-1859"
"20046","0.00","3","DL","SFO","JFK","1000-1059"
"20050","1.00","3","DL","SFO","JFK","0700-0759"
"20055","0.00","3","DL","LAX","JFK","1900-1959"
"20059","0.00","3","DL","ATL","JFK","1700-1759"
"20060","0.00","3","DL","ATL","JFK","0800-0859"
"20062","0.00","3","DL","LAX","JFK","1300-1359"
"20063","0.00","3","DL","ATL","JFK","0600-0659"
"20066","0.00","3","DL","LAX","JFK","1100-1159"
"20075","0.00","3","DL","SFO","JFK","1900-1959"
"20076","0.00","3","DL","JFK","ATL","1200-1259"
"20077","0.00","3","DL","LAX","JFK","1700-1759"
"20079","0.00","3","DL","LAS","JFK","0800-0859"
"20099","1.00","3","DL","JFK","ATL","1700-1759"
"20115","0.00","3","DL","ATL","LAX","1400-1459"
"20152","0.00","3","DL","ATL","SFO","1400-1459"
"20171","1.00","3","DL","ORD","ATL","0900-0959"
"20191","0.00","3","DL","DFW","ATL","0900-0959"
"20192","0.00","3","DL","ATL","DFW","1200-1259"
"20193","1.00","3","DL","DFW","ATL","2200-2259"
"20270","0.00","3","DL","PHX","ATL","1100-1159"
"20271","0.00","3","DL","ATL","PHX","1400-1459"
"20276","0.00","3","DL","ORD","ATL","1700-1759"
"20277","0.00","3","DL","ATL","ORD","1900-1959"
"20315","0.00","3","DL","DFW","ATL","1600-1659"
"20318","0.00","3","DL","ORD","ATL","2200-2259"
"20385","0.00","3","DL","ATL","SFO","1200-1259"
"20393","0.00","3","DL","ATL","ORD","1600-1659"
"20397","0.00","3","DL","ATL","SFO","1700-1759"
"20426","1.00","3","DL","DFW","ATL","1300-1359"
"20427","0.00","3","DL","ATL","DFW","1600-1659"
"20479","0.00","3","DL","ATL","DFW","0800-0859"
"20480","0.00","3","DL","LAX","ATL","1600-1659"
"20494","0.00","3","DL","ATL","DFW","0700-0759"
"20498","0.00","3","DL","ATL","PHX","0001-0559"
"20506","0.00","3","DL","ORD","ATL","1600-1659"
"20507","0.00","3","DL","ATL","ORD","1800-1859"
"20534","0.00","3","DL","LAS","ATL","0900-0959"
"20546","1.00","3","DL","ORD","ATL","0700-0759"
"20569","0.00","3","DL","ATL","LAX","1100-1159"
"20581","0.00","3","DL","JFK","SFO","1500-1559"
"20595","0.00","3","DL","CLT","ATL","1900-1959"
"20664","1.00","3","DL","DFW","ATL","1100-1159"
"20665","1.00","3","DL","ATL","DFW","1300-1359"
"20694","0.00","3","DL","CLT","ATL","1300-1359"
"20695","0.00","3","DL","ATL","CLT","1500-1559"
"20772","0.00","3","DL","ATL","CLT","0600-0659"
"20774","0.00","3","DL","JFK","PHX","1500-1559"
"20796","0.00","3","DL","ATL","LAX","0600-0659"
"20818","0.00","3","DL","ORD","ATL","2000-2059"
"20829","1.00","3","DL","CLT","ATL","1000-1059"
"20830","0.00","3","DL","ATL","CLT","1200-1259"
"20895","0.00","3","DL","DFW","ATL","0800-0859"
"20943","0.00","3","DL","LAX","ATL","2000-2059"
"20951","0.00","3","DL","DFW","ATL","1500-1559"
"20952","0.00","3","DL","JFK","LAX","1600-1659"
"21018","1.00","3","DL","DFW","ATL","2000-2059"
"21020","0.00","3","DL","ATL","CLT","0900-0959"
"21116","0.00","3","DL","LAX","ATL","0700-0759"
"21154","0.00","3","DL","ATL","CLT","0700-0759"
"21160","0.00","3","DL","DFW","ATL","0700-0759"
"21161","0.00","3","DL","ATL","DFW","0900-0959"
"21173","1.00","3","DL","ATL","LAX","2200-2259"
"21196","0.00","3","DL","ORD","ATL","1200-1259"
"21214","0.00","3","DL","ATL","LAS","1300-1359"
"21293","0.00","3","DL","LAX","LAS","1700-1759"
"21300","0.00","3","DL","ATL","LAX","2300-2359"
"21351","0.00","3","DL","JFK","ATL","1400-1459"
"21360","0.00","3","DL","LAS","ATL","1100-1159"
"21365","1.00","3","DL","CLT","ATL","1700-1759"
"21366","1.00","3","DL","ATL","CLT","1900-1959"
"21391","0.00","3","DL","JFK","LAS","2300-2359"
"21410","0.00","3","DL","DFW","ATL","1700-1759"
"21411","0.00","3","DL","ATL","DFW","1900-1959"
"21412","0.00","3","DL","ATL","PHX","0800-0859"
"21421","0.00","3","DL","LAX","ATL","1200-1259"
"21449","1.00","3","DL","ATL","ORD","0700-0759"
"21515","1.00","3","DL","JFK","LAS","1300-1359"
"21545","1.00","3","DL","ATL","LAX","1500-1559"
"21546","0.00","3","DL","LAX","ATL","1000-1059"
"21550","0.00","3","DL","LAX","ATL","1900-1959"
"21572","0.00","3","DL","LAS","ATL","1500-1559"
"21576","1.00","3","DL","JFK","SFO","1100-1159"
"21598","0.00","3","DL","ATL","LAS","0600-0659"
"21609","0.00","3","DL","ORD","ATL","1300-1359"
"21610","0.00","3","DL","ATL","ORD","1500-1559"
"21620","0.00","3","DL","LAX","PHX","0700-0759"
"21645","0.00","3","DL","ATL","LAX","1000-1059"
"21759","0.00","3","DL","ATL","CLT","1400-1459"
"21770","1.00","3","DL","CLT","ATL","0800-0859"
"21792","1.00","3","DL","ATL","ORD","0900-0959"
"21805","1.00","3","DL","ATL","ORD","1100-1159"
"21806","0.00","3","DL","CLT","ATL","1500-1559"
"21846","0.00","3","DL","LAX","SFO","0700-0759"
"21847","1.00","3","DL","LAX","SFO","0800-0859"
"21849","0.00","3","DL","LAX","SFO","0900-0959"
"21850","0.00","3","DL","SFO","LAX","1000-1059"
"21851","0.00","3","DL","SFO","LAX","1100-1159"
"21852","1.00","3","DL","LAX","SFO","1100-1159"
"21853","0.00","3","DL","LAX","SFO","1200-1259"
"21855","0.00","3","DL","SFO","LAX","1500-1559"
"21856","1.00","3","DL","LAX","SFO","1500-1559"
"21857","1.00","3","DL","LAX","SFO","1600-1659"
"21858","1.00","3","DL","SFO","LAX","1700-1759"
"21859","0.00","3","DL","LAX","SFO","1700-1759"
"21860","0.00","3","DL","SFO","LAX","1800-1859"
"21861","0.00","3","DL","SFO","LAX","1900-1959"
"21863","0.00","3","DL","SFO","LAX","2000-2059"
"21886","0.00","3","DL","LAX","ATL","1700-1759"
"21895","0.00","3","DL","PHX","JFK","0800-0859"
"21926","0.00","3","AA","DFW","LAX","1800-1859"
"21929","0.00","3","AA","DFW","ORD","1700-1759"
"21932","1.00","3","AA","ORD","DFW","2200-2259"
"21934","0.00","3","AA","ORD","PHX","0600-0659"
"23237","0.00","3","F9","LAX","ATL","1400-1459"
"23244","0.00","3","F9","LAX","ORD","2100-2159"
"23249","0.00","3","F9","SFO","LAS","1900-1959"
"23250","0.00","3","F9","LAS","SFO","2100-2159"
"23251","0.00","3","F9","ORD","LAX","0001-0559"
"23269","0.00","3","F9","ORD","SFO","1300-1359"
"23312","1.00","3","F9","PHX","ORD","0800-0859"
"23313","1.00","3","F9","ORD","PHX","1200-1259"
"23360","0.00","3","F9","PHX","SFO","1400-1459"
"23361","0.00","3","F9","SFO","PHX","1800-1859"
"23380","0.00","3","F9","LAS","ORD","2100-2159"
"23402","0.00","3","F9","ORD","LAS","0600-0659"
"23450","1.00","3","F9","LAS","ORD","1000-1059"
"24502","1.00","3","NK","DFW","ATL","1800-1859"
"24508","0.00","3","NK","PHX","ORD","2100-2159"
"24509","1.00","3","NK","ORD","PHX","0001-0559"
"24565","0.00","3","NK","ORD","LAS","0900-0959"
"24572","0.00","3","NK","LAS","DFW","1000-1059"
"24576","0.00","3","NK","DFW","LAS","1100-1159"
"24578","1.00","3","NK","LAX","ATL","1000-1059"
"24604","0.00","3","NK","ORD","LAX","0900-0959"
"24650","0.00","3","NK","LAS","ATL","2000-2059"
"24652","0.00","3","NK","ATL","LAS","2300-2359"
"24691","1.00","3","NK","DFW","ORD","1400-1459"
"24737","0.00","3","OO","SFO","LAX","1100-1159"
"24758","0.00","3","NK","LAX","DFW","0700-0759"
"24759","0.00","3","NK","DFW","LAX","1900-1959"
"24795","0.00","3","NK","LAX","ORD","1600-1659"
"24797","0.00","3","NK","ORD","LAX","1700-1759"
"24798","0.00","3","NK","LAX","ORD","0600-0659"
"24802","0.00","3","NK","ORD","ATL","1000-1059"
"24810","0.00","3","NK","DFW","PHX","0001-0559"
"24923","0.00","3","OO","ORD","ATL","1700-1759"
"24950","0.00","3","NK","ORD","DFW","1600-1659"
"24956","0.00","3","NK","PHX","DFW","2300-2359"
"25139","0.00","3","OO","PHX","LAX","1400-1459"
"25140","0.00","3","OO","LAX","PHX","1700-1759"
"25379","0.00","3","OO","PHX","LAX","2100-2159"
"25503","0.00","3","OO","DFW","LAX","2000-2059"
"25541","1.00","3","OO","PHX","LAX","1000-1059"
"25542","0.00","3","OO","LAX","PHX","1300-1359"
"25576","0.00","3","OO","ORD","CLT","2000-2059"
"25695","0.00","3","OO","SFO","PHX","1900-1959"
"25702","0.00","3","OO","PHX","LAX","2000-2059"
"25787","0.00","3","OO","PHX","SFO","1600-1659"
"25793","0.00","3","OO","LAX","LAS","1100-1159"
"25805","0.00","3","OO","LAX","SFO","1400-1459"
"25854","0.00","3","OO","SFO","PHX","1200-1259"
"25857","0.00","3","OO","LAX","PHX","1500-1559"
"25882","0.00","3","OO","SFO","LAX","1700-1759"
"25898","0.00","3","OO","ATL","ORD","1700-1759"
"25901","0.00","3","OO","ORD","DFW","0700-0759"
"25905","0.00","3","OO","LAS","LAX","1000-1059"
"25908","0.00","3","OO","ORD","DFW","1700-1759"
"25949","1.00","3","OO","LAX","LAS","0900-0959"
"25978","0.00","3","OO","ORD","ATL","0600-0659"
"26023","1.00","3","OO","SFO","DFW","1800-1859"
"26041","0.00","3","OO","DFW","SFO","1900-1959"
"26098","0.00","3","OO","LAX","PHX","0001-0559"
"26213","0.00","3","OO","PHX","SFO","0900-0959"
"26215","0.00","3","OO","LAX","DFW","0600-0659"
"26267","1.00","3","OO","CLT","ORD","1600-1659"
"26275","0.00","3","OO","PHX","LAX","1600-1659"
"26315","0.00","3","OO","SFO","DFW","1600-1659"
"26324","0.00","3","OO","LAX","DFW","1600-1659"
"26371","0.00","3","NK","ATL","ORD","1200-1259"
"26380","0.00","3","NK","LAS","ORD","1500-1559"
"26407","0.00","3","UA","LAX","ORD","0600-0659"
"26429","0.00","3","UA","LAX","SFO","1900-1959"
"26447","1.00","3","UA","ORD","ATL","1000-1059"
"26458","0.00","3","UA","ORD","PHX","1200-1259"
"26468","0.00","3","UA","SFO","LAS","1000-1059"
"26481","0.00","3","UA","ORD","SFO","1400-1459"
"26501","0.00","3","UA","LAX","SFO","1600-1659"
"26505","1.00","3","UA","ORD","LAX","1300-1359"
"26523","0.00","3","UA","ORD","DFW","1400-1459"
"26535","0.00","3","UA","LAX","ORD","1500-1559"
"26549","0.00","3","UA","LAX","LAS","0600-0659"
"26588","0.00","3","UA","LAX","SFO","1500-1559"
"26598","0.00","3","UA","SFO","LAS","1500-1559"
"26609","0.00","3","UA","SFO","PHX","0800-0859"
"26635","0.00","3","UA","ORD","SFO","1500-1559"
"26658","0.00","3","UA","ORD","LAX","0001-0559"
"26665","0.00","3","UA","SFO","LAX","0600-0659"
"26673","0.00","3","UA","SFO","LAX","1300-1359"
"26675","1.00","3","UA","ATL","ORD","0600-0659"
"26679","0.00","3","UA","CLT","ORD","0600-0659"
"26685","0.00","3","UA","LAX","SFO","1300-1359"
"26691","0.00","3","UA","ORD","LAX","1600-1659"
"26696","0.00","3","UA","SFO","LAX","1200-1259"
"26698","0.00","3","UA","SFO","PHX","1800-1859"
"26705","0.00","3","UA","LAS","ORD","1600-1659"
"26725","0.00","3","UA","LAX","ORD","1200-1259"
"26741","0.00","3","UA","SFO","LAS","1400-1459"
"26743","0.00","3","UA","LAX","SFO","0600-0659"
"26745","0.00","3","UA","SFO","LAX","1900-1959"
"26751","0.00","3","UA","PHX","ORD","2000-2059"
"26755","0.00","3","UA","SFO","LAS","0600-0659"
"26758","0.00","3","UA","LAS","LAX","0800-0859"
"26790","0.00","3","UA","LAS","SFO","1700-1759"
"26791","1.00","3","UA","ORD","PHX","0001-0559"
"26799","0.00","3","UA","LAS","ORD","1200-1259"
"26809","0.00","3","UA","LAX","SFO","1700-1759"
"26915","0.00","3","UA","ORD","SFO","0800-0859"
"26922","1.00","3","UA","ORD","SFO","1000-1059"
"26923","0.00","3","UA","SFO","ORD","1800-1859"
"26936","0.00","3","UA","ORD","CLT","1000-1059"
"26941","0.00","3","UA","ORD","LAS","1400-1459"
"26957","0.00","3","UA","LAX","SFO","1100-1159"
"26961","0.00","3","UA","ORD","PHX","0800-0859"
"26964","0.00","3","UA","ORD","LAX","2300-2359"
"26988","0.00","3","UA","ORD","SFO","0001-0559"
"26990","0.00","3","UA","SFO","ORD","1600-1659"
"27038","0.00","3","UA","PHX","ORD","0900-0959"
"27061","0.00","3","UA","SFO","ORD","2100-2159"
"27064","0.00","3","UA","SFO","ORD","1700-1759"
"27085","0.00","3","UA","SFO","ORD","0700-0759"
"27106","0.00","3","UA","DFW","ORD","0900-0959"
"27113","0.00","3","UA","SFO","LAX","0800-0859"
"27121","0.00","3","UA","ORD","DFW","1200-1259"
"27122","0.00","3","UA","LAX","ORD","1600-1659"
"27135","0.00","3","UA","LAX","SFO","0900-0959"
"27139","0.00","3","UA","SFO","LAX","1000-1059"
"27147","0.00","3","UA","SFO","LAS","0800-0859"
"27148","0.00","3","UA","SFO","ORD","1000-1059"
"27154","0.00","3","UA","ORD","SFO","1000-1059"
"27161","0.00","3","UA","LAS","ORD","0900-0959"
"27162","0.00","3","UA","ORD","LAX","0001-0559"
"27180","0.00","3","UA","DFW","ORD","1200-1259"
"27346","1.00","3","UA","ORD","SFO","0800-0859"
"27394","0.00","3","UA","DFW","SFO","0800-0859"
"27401","0.00","3","UA","LAS","SFO","0900-0959"
"27451","0.00","3","UA","LAX","SFO","2100-2159"
"27463","0.00","3","UA","ATL","SFO","0800-0859"
"27466","0.00","3","UA","ORD","SFO","1900-1959"
"27478","0.00","3","UA","LAX","ORD","1200-1259"
"27499","0.00","3","UA","ORD","DFW","1500-1559"
"27540","0.00","3","UA","ORD","DFW","1900-1959"
"27542","0.00","3","UA","PHX","SFO","1300-1359"
"27611","0.00","3","UA","SFO","PHX","1600-1659"
"27638","0.00","3","UA","SFO","ORD","1300-1359"
"27644","1.00","3","UA","ORD","SFO","0600-0659"
"27648","0.00","3","UA","ORD","LAX","0800-0859"
"27651","0.00","3","UA","SFO","DFW","0700-0759"
"27653","0.00","3","UA","LAS","SFO","1200-1259"
"27667","0.00","3","UA","ORD","LAX","0600-0659"
"27674","0.00","3","UA","SFO","ATL","0700-0759"
"27771","1.00","3","UA","ORD","PHX","1500-1559"
"27773","0.00","3","UA","LAX","ORD","0900-0959"
"27789","0.00","3","UA","SFO","DFW","1000-1059"
"27802","0.00","3","UA","SFO","ORD","1500-1559"
"27803","0.00","3","UA","LAX","SFO","1800-1859"
"27806","0.00","3","UA","ORD","SFO","1200-1259"
"27809","0.00","3","UA","SFO","LAS","1200-1259"
"27813","0.00","3","UA","PHX","SFO","1900-1959"
"27863","0.00","3","WN","PHX","LAS","0800-0859"
"27864","0.00","3","WN","PHX","LAS","1300-1359"
"27865","0.00","3","WN","PHX","LAS","1000-1059"
"27867","0.00","3","WN","PHX","LAS","1500-1559"
"27868","0.00","3","WN","PHX","LAS","0900-0959"
"27869","0.00","3","WN","PHX","LAS","2200-2259"
"27870","0.00","3","WN","PHX","LAS","1800-1859"
"27872","0.00","3","WN","PHX","LAS","0600-0659"
"27873","0.00","3","WN","PHX","LAS","2000-2059"
"27907","0.00","3","WN","SFO","LAS","1600-1659"
"27908","0.00","3","WN","SFO","LAS","1900-1959"
"27910","0.00","3","WN","SFO","LAS","0700-0759"
"27911","0.00","3","WN","SFO","LAS","1800-1859"
"27912","0.00","3","WN","SFO","LAS","1400-1459"
"27954","0.00","3","WN","ATL","LAX","1400-1459"
"27955","0.00","3","WN","ATL","LAX","0001-0559"
"27956","0.00","3","WN","ATL","LAX","0900-0959"
"27982","0.00","3","WN","LAS","LAX","1400-1459"
"27983","0.00","3","WN","LAS","LAX","2200-2259"
"27984","0.00","3","WN","LAS","LAX","1500-1559"
"27985","0.00","3","WN","LAS","LAX","0600-0659"
"27986","0.00","3","WN","LAS","LAX","0700-0759"
"27987","0.00","3","WN","LAS","LAX","1700-1759"
"27988","0.00","3","WN","LAS","LAX","2000-2059"
"27989","0.00","3","WN","LAS","LAX","0900-0959"
"27992","0.00","3","WN","LAS","LAX","1800-1859"
"27993","0.00","3","WN","LAS","LAX","1200-1259"
"28022","0.00","3","WN","PHX","LAX","2100-2159"
"28023","0.00","3","WN","PHX","LAX","0800-0859"
"28024","1.00","3","WN","PHX","LAX","1500-1559"
"28025","0.00","3","WN","PHX","LAX","0001-0559"
"28026","0.00","3","WN","PHX","LAX","1900-1959"
"28028","0.00","3","WN","PHX","LAX","1000-1059"
"28029","0.00","3","WN","PHX","LAX","0700-0759"
"28030","0.00","3","WN","PHX","LAX","1300-1359"
"28036","0.00","3","WN","SFO","LAX","0900-0959"
"28038","0.00","3","WN","SFO","LAX","0600-0659"
"28039","0.00","3","WN","SFO","LAX","2000-2059"
"28040","0.00","3","WN","SFO","LAX","1100-1159"
"28041","0.00","3","WN","SFO","LAX","1300-1359"
"28042","0.00","3","WN","SFO","LAX","1200-1259"
"28043","0.00","3","WN","SFO","LAX","1700-1759"
"28418","0.00","3","WN","LAS","ATL","0700-0759"
"28419","1.00","3","WN","LAS","ATL","2200-2259"
"28420","0.00","3","WN","LAS","ATL","1300-1359"
"28421","1.00","3","WN","LAS","ATL","1900-1959"
"28422","0.00","3","WN","LAX","ATL","0800-0859"
"28423","0.00","3","WN","LAX","ATL","2100-2159"
"28424","0.00","3","WN","LAX","ATL","1300-1359"
"28465","0.00","3","WN","PHX","ATL","0900-0959"
"28466","0.00","3","WN","PHX","ATL","2100-2159"
"29015","0.00","3","WN","ATL","PHX","0001-0559"
"29062","0.00","3","WN","LAS","PHX","1500-1559"
"29063","0.00","3","WN","LAS","PHX","1300-1359"
"29064","0.00","3","WN","LAS","PHX","1800-1859"
"29065","0.00","3","WN","LAS","PHX","1100-1159"
"29067","0.00","3","WN","LAS","PHX","0800-0859"
"29068","0.00","3","WN","LAS","PHX","0700-0759"
"29069","0.00","3","WN","LAS","PHX","1600-1659"
"29070","0.00","3","WN","LAS","PHX","1200-1259"
"29073","0.00","3","WN","LAX","PHX","0900-0959"
"29074","0.00","3","WN","LAX","PHX","1100-1159"
"29076","0.00","3","WN","LAX","PHX","1900-1959"
"29079","0.00","3","WN","LAX","PHX","1300-1359"
"29080","0.00","3","WN","LAX","PHX","1700-1759"
"29140","1.00","3","WN","SFO","PHX","1500-1559"
"29141","0.00","3","WN","SFO","PHX","1800-1859"
"29142","0.00","3","WN","SFO","PHX","0800-0859"
"29143","0.00","3","WN","SFO","PHX","1100-1159"
"29489","0.00","3","WN","LAS","SFO","2000-2059"
"29490","0.00","3","WN","LAS","SFO","1300-1359"
"29491","0.00","3","WN","LAS","SFO","1600-1659"
"29492","0.00","3","WN","LAS","SFO","1000-1059"
"29494","0.00","3","WN","LAS","SFO","0700-0759"
"29495","0.00","3","WN","LAX","SFO","1700-1759"
"29496","0.00","3","WN","LAX","SFO","1800-1859"
"29498","0.00","3","WN","LAX","SFO","1300-1359"
"29499","0.00","3","WN","LAX","SFO","2200-2259"
"29500","0.00","3","WN","LAX","SFO","0700-0759"
"29501","0.00","3","WN","LAX","SFO","1100-1159"
"29502","0.00","3","WN","LAX","SFO","2000-2059"
"29503","0.00","3","WN","LAX","SFO","1000-1059"
"29508","0.00","3","WN","PHX","SFO","1200-1259"
